"","Review_Date","Author_Name","Vehicle_Title","Review_Title","Review","Rating","model_year","model"
"1",2018-07-11,"ARLE","2018 Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)","BEST ALL AROUND PURPOSE CROSSOVER SUV","I have never seen or driven a car like this before.  I've owned BMW 3, 5, and 7 series, Porsche 911, and Mercedes SL 55 and a Honda Pilot.  The SQ5  is a combination of all of them.  Its rides very comfortably, very stable, and quiet, sporty and with a lot of power and torque. Its a get up and go car, great to drive anywhere in the city or country.  I love the quality and the very advanced technology I feel like I'm in a spaceship.  I've tested the Volvo XC90, it had a very bouncy air suspension and I didn't quite trust their NAV system. I also test drove the RX 350, but again the ride was not as smooth and it just didn't absorb the bumps well, plus it was quite boring to drive. I've never test drove an Audi before until my wife wanted to look at the Audi Q7. After we bought the Q7, I just fell in love with it and had to have one just like it.  The SQ5 is a combination of sports car and comfortable SUV, very adaptable to all my different driving needs.",5,2018," Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)"
"2",2018-06-24,"Mark Weiner","2018 Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)","Best car","This is a wonderful car.  The technology is very adaptable the car most comfortable and is great looking. Many nice details. Waiting to see gas mileage",5,2018," Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)"
"3",2018-05-02,"mycwf.pic","2018 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)","Great Buy","Do your home work",5,2018," Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)"
"4",2017-12-07,"Rich","2018 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)","Fun Car","Great ride. Loaded with technology. Steering not as tight as x5",5,2018," Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)"
"5",2017-10-25,"Al","2018 Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)","Best luxury SUV w/ perfect comfort/sport balance","Very happy with choosing the 2018 Audi SQ5 prestige. Before buying, I compared it to the new F -Pace S, XC60 T8, 43 AMG, and upcoming redesigned  X3 M40i. With Audi SQ5's standard adaptive dampers, you get the best comfort, but also great sportiness when desired. The volvo is for my taste too soft and floaty, while the others are too harsh for a daily driver even with adaptive dampers. Even when driving back-to-back the Lexus RX and the SQ5 on my backroads, I found the SQ5 quieter and soaking up bumps much better than the Lexus RX while being faster at the same time. The virtual cockpit and the modern entertainment system are truly the best and most updated in their class, ahead of other competitors. Having google maps in a 12.3"" screen in front of you w/ live traffic info is unbeatable. The XC 60 T8 comes close, but its infotainment system is rather laggy and ergonomics are not well though-out as everything, incl. heater, are adjusted w/ the main screen. So if that main screen does not boot up quickly or correctly you are basically left in the dark not being able to adjust anything. As confirmed by the recent reliability survey from consumer-reports, Audis are very reliable particularly compared to other luxury brands. Volvo and Jag are the bottom brands in this respect. All in all, it is the best grocery getter I have owned that pertains a dual-personality of keeping the rest of the family comfortable driving from A to B, but yet having the option of embracing windy and twisty roads with speed.",5,2018," Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)"
"6",2017-10-14,"TN","2018 Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)","Great car!!!","Still new. Everything seems working perfectly.. won’t know of any problems until a few years later. Will give an update in a year or so.",5,2018," Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)"
"7",2017-07-16,"Aspen SQ5","2018 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)","Exceptionally balanced vehicle","Ive owned alot of cars since the late 70's, mostly BMW and Porsche. Ive owned 5 M3's, 2 M5's, 4 911's and more recently X5's, a Cayenne and even an X3M. Then I bought a 2012 Audi A8L and fell in love with the brand. Bought wife an Audi allroad and wanted something a little sportier. Wen to the dealer intending to look at the S4/S6/7 line and was considering the S5 sportback. All of the aforementioned is only for context. Im an older guy who appreciates performance and yet I have a perspective of how much performance a person can actually use on the street. I also enjoy a modicum of practicality and so many new cars today offer both that could only be dreamed of 10 or 15 years ago. The SQ5 is without a doubt the best balance of both comfort and performance I have encountered to date in an easy to live with package. Simply amazing the choices we consumers enjoy today. I considered a Macan but the usual Porsche buying experience is a turnoff. Additionally, my local Audi dealer was terrific to deal with and frankly, the SQ5 technology embarrases the Macan as well as the driving dynamics of the 2018 SQ5 feel far superior to the older platform that underpins the Macan. You can't go wrong with the SQ5 and be sure to get the virtual cockpit option.",5,2018," Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl Turbo 8A)"
"8",2018-04-22,"Ajay","2017 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A)","A rare find!","I have owned a 2006 BMW X5, 4.4V8, 2009 Mercedes ML350, 3.5V6, and now this supercharged German beast! I have driven over 4000 mi. in about 6 weeks mainly urban commuting. The SQ5 by far has outshined my previous makes and models in almost every aspects, from interior quality, to performance, agility, steering precision, and nimbleness in maneuvering. I truly enjoy this new found, near instant acceleration, very useful in overtaking slow-pokes on Houston freeways, and ingressing from ramps to freeways. Also the braking is quite impressive too with its massive front rotors and pads.  Interior fit and finish oozes quality, and attention to detail, from knurled knobs to beautifully contoured dash and center console, and a smooth metal and leather round gearshift knob. All controls are quite logical. However adjusting the fan speed is a two step process, and speaker volume control not in its usual location. Lack of USB port makes up by having WIFI & media bluetooth connection, and two SD card slots. I just copied my entire music collection on one SD slot, all at my fingertips. Though the front seats are beautifully made, they are narrow for the north american ass. I am just over 200lbs, but wish the seats were a bit wider for drives longer than an hour. The view out the front, sides, and up is great, except for the massive blindspots from the two side view mirrors. Not exactly ""Mickey Mouse ears"" mirrors, they still block your view of the curb you are turning into. Very careful, not to hit the curb with those awesome 21"" wheels. I truly enjoy driving the SQ5, every chance I get. It sure feels like a refreshing change from  the Merc, and the BMW, which seem to have become such mainstream, with the soccer moms. The styling, lines, curves are mild, understated, unlike the crazy and faddish Japanese exterior designs lately. I am hoping the SQ5 will be as durable as well it performs.",4,2017," Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A)"
"9",2017-03-21,"Tom","2017 Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A)","What a Cayenne Turbo driver thinks of this car","This will surprise you. Forget the BMW X3 and Mercedes GLC. The only real competitor to the SQ5 is the Macan S. If you've had fun in your previous car, expect twice as much in the SQ5. The supercharged engine is far superior to any turbo. The power is instant and gratifying, complemented with the best engine tune in class. The transmission is composed and civilized in traffic and fast during spirited driving. The SQ5 beats its competitors hands down on gratification. If you like a softer ride, go with the 20"" wheels on the SQ5 or a Macan with air suspension. The X3 and GLC suspension can also be dialed down into comfort but those two will never escape their mommy wagon stigma. The other area where the SQ5 outshines all its competitors is practicality: much more interior space than the Macan, much bigger windows than the Merc and BMW, much better sound insulation (laminated windows standard) and much better access through rear doors than the Macan. The flat-bottom steering wheel is great for getting in and out, especially for bigger people. The SQ5 is not perfect: its only USB port is located in the passenger glove box and its adaptive cruise control does not go all the way to stop. But it stands for Stealth Wealth - people who want to drive the best without spilling the beans. I still can't believe the sleeper status of this car. If you can find one, get one with optional diamond stitching inside! This car looks best in Daytona Gray and Sepang Blue.",5,2017," Audi SQ5 SUV 3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A)"
"10",2017-02-28,"Tommie 555","2017 Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A)","Hold On","Punch the gas and hold on, this baby will fly.  Unfortunately flying takes lots of fuel.  On the plus I can cruise at 80 at 2,000 rpm.  Love the trim and tech features.  Does anyone really use the paddles?",5,2017," Audi SQ5 SUV 3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A)"
