"","Review_Date","Author_Name","Vehicle_Title","Review_Title","Review","Rating","model_year","model"
"1",2018-05-02,"Shaf","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Love it","Beautiful car.  Love all aspects",5,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"2",2018-04-10,"RogerCVC","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","OK with Reservations","We picked this car as a CPO from a BMW dealer.  No problems to date.  Relatively decent handling for the type car, and just the right size and height.  We stayed away from the newer version to avoid a Mini based front wheel platform derived car as opposed to a BMW based one.  The new 2018 X1 also features a flimsy cloth covering under the moonroof that I can see ripping quickly.                                                                                                                                                                                                                                                                         If you want a X1 like this may I suggest springing for the upgraded interior.  Base level seating has poor lateral support and are unacceptable.  Base halogen headlights are unacceptable and should be avoided.  My 3 series coupe has xenons which are ""light years"" better.  Sorry!:-)  Base sound system is ""media-ocre"" at best.  I don't understand the need for moonroofs on BMWs, and wish they would apportion the monies elsewhere and delete them.  Acceleration with the 240 hp is considerably better than you would expect for a 4 cyl.  It feels like a 6!  Braking is only adequate , but some experts blame this on the stock tires rather than the car.  I also would like a manual transmission X1 like they have in other countries!  When you're shopping, seek out a well optioned example only!  A base car sporting only a badge is bad form indeed.",3,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"3",2017-10-24,"Mike","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Love this car","Get ride of the run flats.   If you like to drink coffee this is not the car for you.",5,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"4",2017-08-08,"Jacob H","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Worst Purchase I've ever made","1.	Dealership was a joke to work with, lied on two separate occasions about frivolous things.2.	Electronics keep tripping – Dealership has no idea. It’s not logging. 3.	O2 Sensor light comes on every time I go down my parking garage and stays on for the remainder of the trip. Dealership has no idea what to do. 4.	Key fob lasted 2 years. 300 Bucks+ for a new one, excluding programming costs. 5.	Gas mileage nowhere near estimated. A daily commuter who uses the interstate. I’m not heavy on the gas, I estimate 20.5 mpg with 91-octane.6.	Brand new $39,000. For a 2014 BMW X1, NADA Resale max shows $19,500. At best I lost $19,500 in three years.7.	I will never own another BMW.  I’ll stick with Lexus and Acura.",1,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"5",2017-03-17,"d. b.","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","car 1","Handy as a pocket on a shirt.",5,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"6",2017-02-25,"CG","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","A Great Sporty SUV!","Drives like a nice little SUV sports car. I would recommend the xdrive over the sdrive, the xDrive has a much better drive feel.",5,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"7",2017-02-15,"robert d","2014 BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)","owner for two years  .    a   great grocery getter","35 mpg on a 3000 mile trip 24+intown in winter        don't like run flat tires curbed one cost to replace 400.00 besides being noisy. fun to drive easy to park we are empty nesters so the size works for us .Good dealer service too",4,2014," BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)"
"8",2017-01-21,"Roy","2014 BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)","Great handling vehicle with in need of improvement","Purchased 2014 X1 fully loaded with M-Sport package. Great handling car with aggressive sporty ride, coming from a V6 engine it was hard to believe this car was only equipped with turbo 4. Comes with just enough tech to be comfortable (I never cared for Lane Departure Assistance, Front Collision Warning, and other new safety features). It however came with the crappiest quality materials I have seen in German cars, and it because the hard plastics were constantly expanding and rubbing, rattles/creaks were always present. The run flats combined with M suspension did not help either. Oh, and I purchased this vehicle at 45k and 2 years later the value was at 14k so its two year depreciation was @ 68% which is a little steep even for a BMW.",4,2014," BMW X1 SUV sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)"
"9",2016-11-20,"S Flicker","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","A BMW 3 Series as a small SUV","The great handling and braking of a 3 series with the added visibilty and cargo space of an SUV.",5,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
"10",2016-06-09,"PatD","2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)","Tak ada fun right out of my BMW","My first BMW and I'm now caught in the Takata airbag mess. BMW felt it was safe enough for me to drive but not take in trade, ""they also have a stop sale on any affected models"". I contacted BMW and asked for and got a rental car. The dealer now has my BMW and at this point I have doubts about if and when I will ever see it again and I'm sure I will take a beating when I trade or sell it if and when I do.  Do yourself a favor go to safercar.gov and check the vehicle ID number of ANY CAR you have or are looking to buy to check for open recalls!  Avoid any car with a TAKADA airbag open recall like the plague. On the bright side I have a rental 2016 VW Jetta 1.4 that is almost as peppy as my BMW, has a better quieter ride is way more roomy and it is getting between 36-38 MPG. (The BMW only got 23 MPG average) I could almost buy three VW's for what I paid for my X1 BMW . NEVER AGAIN LESSON LEARNED.. Foot Note: Several manufacturers are still making cars with these deadly inflators buyer beware!!!!!UPDATE Traded in 2016 for a new RAV 4 Hi-Bred the Rav rides better, burns regular gas, gets outstanding mileage, and the resale will be higher. I WILL NEVER BUY ANOTHER BMW lesson learned.",1,2014," BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)"
